Comment,Designator,Footprint,LCSC
100n,"C1, C2, C3, C8, C20, C21, C22, C23, C24",Capacitor_SMD:C_0402_1005Metric,C1525
2u2,"C4, C5, C7, C9, C11, C13, C15, C19, C28, C29",Capacitor_SMD:C_0402_1005Metric,C2997286
10n,"C6, C10, C12, C14, C16",Capacitor_SMD:C_0402_1005Metric,C15195
27p,"C17, C18, C26",Capacitor_SMD:C_0402_1005Metric,C1557
47p,"C25, C38",Capacitor_SMD:C_0402_1005Metric,C1567
68p,C27,Capacitor_SMD:C_0402_1005Metric,C14441
1n2,"C30, C32, C33",Capacitor_SMD:C_0402_1005Metric,C192386
1n8,C31,Capacitor_SMD:C_0402_1005Metric,C527007
680p,"C34, C36",Capacitor_SMD:C_0402_1005Metric,C1541
220p,C35,Capacitor_SMD:C_0402_1005Metric,C1530
100p,C37,Capacitor_SMD:C_0402_1005Metric,C1546
TRF7964ARHBR,D1,QFN50P500X500X100-33N-D,C2654840
WT,D2,LED_SMD:LED_0805_2012Metric,C2296
100 @ 100MHz,FB2,Inductor_SMD:L_0805_2012Metric,C1015
150n,"L1, L2",Inductor_SMD:L_0805_2012Metric,C30618
47k,R1,Resistor_SMD:R_0402_1005Metric,C25792
1k5,"R2, R9",Resistor_SMD:R_0402_1005Metric,C25741
100R,R3,Resistor_SMD:R_0402_1005Metric,C25076
10k,R4,Resistor_SMD:R_0402_1005Metric,C25744
56R,"R5, R6, R7, R8",Resistor_SMD:R_0402_1005Metric,C25127
680R,R10,Resistor_SMD:R_0402_1005Metric,C25130
NRST,SW1,Button_Switch_SMD:Panasonic_EVQPUL_EVQPUC,C79174
STM32L431KBU6,U1,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C2826408
SN65HVD230,U2,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C12084
USBLC6-2,U3,Package_TO_SOT_SMD:SOT-23-6,C7519
13.56MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C164051
